requests,gzipRequests,postRequests,httpsRequests,notFound,bodySize,contentLength,httpTrafficCompleted,timeToFirstByte,timeToLastByte
2,0,0,0,0,1738,2562652,246,24,25
2,0,0,0,0,3186,2562652,245,25,26
2,0,0,0,0,3186,2562652,245,25,26
2,0,0,0,0,1738,2562652,245,22,24
2,0,0,0,0,1738,2562652,244,23,24
2,0,0,0,0,3186,2562652,245,24,26
2,0,0,0,0,1738,2562652,247,25,27
2,0,0,0,0,6082,2562652,246,24,26
2,0,0,0,0,4634,2562652,246,23,24
2,0,0,0,0,3186,2562652,245,24,26
2,0,0,0,0,6082,2562652,245,24,26
2,0,0,0,0,1738,2562652,245,23,25
2,0,0,0,0,1738,2562652,245,24,25
2,0,0,0,0,4634,2562652,246,23,24
2,0,0,0,0,3186,2562652,245,25,27
2,0,0,0,0,1738,2562652,245,22,24
2,0,0,0,0,1738,2562652,246,24,25
2,0,0,0,0,4634,2562652,246,23,24
2,0,0,0,0,1738,2562652,246,24,26
2,0,0,0,0,3186,2562652,245,23,25
2,0,0,0,0,1738,2562652,246,22,24
2,0,0,0,0,3186,2562652,245,24,26
2,0,0,0,0,3186,2562652,242,24,25
2,0,0,0,0,4634,2562652,245,23,24
2,0,0,0,0,1738,2562652,245,22,23
2,0,0,0,0,3186,2562652,244,23,24
2,0,0,0,0,1738,2562652,245,23,25
2,0,0,0,0,3186,2562652,245,23,25
2,0,0,0,0,1738,2562652,245,23,24
2,0,0,0,0,3186,2562652,245,22,23
2,0,0,0,0,1738,2562652,248,21,23
2,0,0,0,0,1738,2562652,245,25,26
2,0,0,0,0,4634,2562652,245,23,25
2,0,0,0,0,1738,2562652,245,24,25
2,0,0,0,0,3186,2562652,245,23,24
2,0,0,0,0,4634,2562652,245,22,24
2,0,0,0,0,1738,2562652,246,23,24
2,0,0,0,0,3186,2562652,246,26,28
2,0,0,0,0,1738,2562652,245,24,25
2,0,0,0,0,4634,2562652,245,25,26
2,0,0,0,0,1738,2562652,245,22,24
2,0,0,0,0,1738,2562652,245,22,24
2,0,0,0,0,1738,2562652,246,23,24
2,0,0,0,0,4634,2562652,245,23,24
2,0,0,0,0,1738,2562652,246,24,26
2,0,0,0,0,4634,2562652,245,23,25
2,0,0,0,0,3186,2562652,245,24,25
2,0,0,0,0,4634,2562652,245,22,24
2,0,0,0,0,1738,2562652,246,24,25
2,0,0,0,0,1738,2562652,247,21,23
